datasetKey,provenanceType,URL,Note
59a212b2-cc2c-4637-b96f-40fe28883464,professional,https://www.gbif.org/dataset/59a212b2-cc2c-4637-b96f-40fe28883464,
3470d506-e667-4e3f-b178-819669684c05,professional,https://www.gbif.org/dataset/3470d506-e667-4e3f-b178-819669684c05,
375567b6-a497-4beb-b093-44e69cf7a2e8,professional,https://www.gbif.org/dataset/375567b6-a497-4beb-b093-44e69cf7a2e8,
355ffa2e-36ce-44aa-9772-2f433169100c,professional,https://www.gbif.org/dataset/355ffa2e-36ce-44aa-9772-2f433169100c,
83784f5e-f762-11e1-a439-00145eb45e9a,professional,https://www.gbif.org/dataset/83784f5e-f762-11e1-a439-00145eb45e9a,
bbf53f93-852f-466d-88ad-b9e1327f9215,professional,https://www.gbif.org/dataset/bbf53f93-852f-466d-88ad-b9e1327f9215,
85877766-f762-11e1-a439-00145eb45e9a,professional,https://www.gbif.org/dataset/85877766-f762-11e1-a439-00145eb45e9a,
2247b821-1216-4933-8a6e-cd8b3457e49d,professional,https://www.gbif.org/dataset/2247b821-1216-4933-8a6e-cd8b3457e49d,
8370042a-f762-11e1-a439-00145eb45e9a,mixed,https://www.gbif.org/dataset/8370042a-f762-11e1-a439-00145eb45e9a,
c5c4a23e-2035-4416-ab64-032d6df52ddb,professional,https://www.gbif.org/dataset/c5c4a23e-2035-4416-ab64-032d6df52ddb,
71d58564-f762-11e1-a439-00145eb45e9a,professional,https://www.gbif.org/dataset/71d58564-f762-11e1-a439-00145eb45e9a,
f2d34bf6-5f8e-4137-b0e0-f86cb564c67b,professional,https://www.gbif.org/dataset/f2d34bf6-5f8e-4137-b0e0-f86cb564c67b,
24e553dc-33f9-419f-8f08-7230f696e3da,professional,https://www.gbif.org/dataset/24e553dc-33f9-419f-8f08-7230f696e3da,
95ed1fa5-2923-4459-836b-11ad8cc4bf42,professional,https://www.gbif.org/dataset/95ed1fa5-2923-4459-836b-11ad8cc4bf42,
b15d4952-7d20-46f1-8a3e-556a512b04c5,professional,https://www.gbif.org/dataset/b15d4952-7d20-46f1-8a3e-556a512b04c5,
9687731f-4d52-4340-a80a-2799489d2ef3,professional,https://www.gbif.org/dataset/9687731f-4d52-4340-a80a-2799489d2ef3,
765770cf-a2cf-4e5a-84e3-526a50754239,mixed,https://www.gbif.org/dataset/765770cf-a2cf-4e5a-84e3-526a50754239,
d8cd16ba-bb74-4420-821e-083f2bac17c2,professional,https://www.gbif.org/dataset/d8cd16ba-bb74-4420-821e-083f2bac17c2,
93082fdb-1a18-40de-a25c-5d1b594a370d,professional,https://www.gbif.org/dataset/93082fdb-1a18-40de-a25c-5d1b594a370d,
3de5db1c-584b-4e6c-9efd-63bfc3a42dbe,professional,https://www.gbif.org/dataset/3de5db1c-584b-4e6c-9efd-63bfc3a42dbe,
5ba69a5d-a3f6-4e4e-bbf6-52ebf7dc47b3,professional,https://www.gbif.org/dataset/5ba69a5d-a3f6-4e4e-bbf6-52ebf7dc47b3,
e31764d1-2a62-4f67-b26f-3a41414c2b69,professional,https://www.gbif.org/dataset/e31764d1-2a62-4f67-b26f-3a41414c2b69,
27c84cf2-c04f-444a-9884-9d499533c4ba,non-professional,https://www.gbif.org/dataset/27c84cf2-c04f-444a-9884-9d499533c4ba,CitSci project
6720aee6-2aad-446d-bb97-ba009d1b5666,professional,https://www.gbif.org/dataset/6720aee6-2aad-446d-bb97-ba009d1b5666,
83880886-f762-11e1-a439-00145eb45e9a,professional,https://www.gbif.org/dataset/83880886-f762-11e1-a439-00145eb45e9a,
